**** BEGIN LOGGING AT Tue Nov 23 19:56:21 2010

Nov 23 20:46:03 <CiskoSV>	yo soy de la idea de comenzar algo... ya que se va conociendo desde adentro hacia afuera.. no al reves....
Nov 23 20:46:10 <fcodiaz>	valdra la pena "tropicalizar" una aplicacion ya existente, con el fin de adecuarla a las necesidade de solicont y evitar asi re-inventar la rueda?
Nov 23 20:46:14 <elsimio>	exacto
Nov 23 20:46:14 <CiskoSV>	cualquier cambio, adaptacion es mucho mas facil..
Nov 23 20:46:29 <elsimio>	prefiero comenzar algo o tomar una base pero no de codigo, sino base de ER
Nov 23 20:46:33 <elsimio>	asi como lo q propongo
Nov 23 20:46:42 <elsimio>	q tomar un openerp o sugar
Nov 23 20:46:49 <elsimio>	pues ya he tocado los 2 y modificado codigo
Nov 23 20:46:53 <elsimio>	y puta cuesta algo
Nov 23 20:46:58 <fcodiaz>	ok
Nov 23 20:47:33 <fcodiaz>	entonces elsimio quieres seguir ahondando en ese tema del Open Application Group
Nov 23 20:47:41 <fcodiaz>	para ver si podemos sacar algo de provecho de ahi
Nov 23 20:47:44 <fcodiaz>	?
Nov 23 20:48:00 <elsimio>	si leere estos dias q tengo vacas
Nov 23 20:48:19 <fcodiaz>	ok, entonces hablamos de esto la proxima semana y tu nos dices como vas
Nov 23 20:48:27 <fcodiaz>	y si vale la pena o no
Nov 23 20:48:38 <fcodiaz>	algo mas en este punto jovenes?
Nov 23 20:48:49 <fcodiaz>	alguien quiere agregar algo mas antes de pasar al punto 3?
Nov 23 20:48:50 <CiskoSV>	no more comments...
Nov 23 20:49:17 <fcodiaz>	punto 3 de la agenda: Revision del diseno de la DB.
Nov 23 20:49:37 <fcodiaz>	por este lado recordemos que ya se tenia un diseno de la DB del proyecto
Nov 23 20:49:51 <fcodiaz>	en la cual aun no se tiene establecidas las relaciones entre las tablas
Nov 23 20:50:07 <fcodiaz>	CiskoSV, tu conoces algo de esto?
Nov 23 20:50:12 <fcodiaz>	si has visto ese diseno?
Nov 23 20:50:35 <fcodiaz>	https://github.com/fcodiaz/Solicont/blob/master/docs/SolicontDisenoPreliminarBD.png
Nov 23 20:50:49 <CiskoSV>	si, pero la verdad fue ya hace un tiempo...
Nov 23 20:51:02 <fcodiaz>	cmsamour, dijo que podia ayudar con eso, pero creo que por ahora el bebe lo tiene ocupado
Nov 23 20:51:04 <CiskoSV>	no se discutio a fondo...
Nov 23 20:51:15 <CiskoSV>	sino fue una propuesta de Sosoriosv si no me equivoco
Nov 23 20:51:20 <fcodiaz>	crees que nos podrias hechar la mano, ya para ir teniendo algo concreto 
Nov 23 20:52:04 <fcodiaz>	y dado que ya tenemos la DB, podemos irle ya dando forma en base a las caracteristicas que estamos requiriendo
Nov 23 20:52:12 <CiskoSV>	solo fue una propuesta...
Nov 23 20:52:34 <elsimio>	si para mi eso es propuesta
Nov 23 20:52:34 <fcodiaz>	elsimio, tu dijiste que tenias una propuesta sobre el diseno
Nov 23 20:52:40 <fcodiaz>	o que ibas a trabajar en una
Nov 23 20:52:46 <elsimio>	si en la mente tengo una propuesta
Nov 23 20:52:47 <fcodiaz>	algun comentario al respecto?
Nov 23 20:52:49 <elsimio>	tengo q plasmarla
Nov 23 20:53:08 <elsimio>	si, mejorar ese diseno, ya que como dice CiskoSV solo fue propuesta
Nov 23 20:53:12 <fcodiaz>	ok
Nov 23 20:53:14 <elsimio>	no cumple criterios de modularidad
Nov 23 20:53:27 <fcodiaz>	CiskoSV, podrias colaborar en ese sentido y trabajar junto con elsimio en esto?
Nov 23 20:53:52 <fcodiaz>	o sino yo puedo trabajar en eso elsimio y vemos como planteamos algo mas concreto ya
Nov 23 20:54:01 <fcodiaz>	trabajamos los dos
Nov 23 20:54:05 <elsimio>	simon
Nov 23 20:54:12 <elsimio>	tratare de hacer mi medio propuesta
Nov 23 20:54:17 <CiskoSV>	este par de semanas no me comprometo, estoy estudiando un par de cosas y se me viene la inauguracion de la empresa... osea.. estoy liado... luego de esas dos semanas entro con todo...
Nov 23 20:54:17 <jotamjr>	por cierto ahí no alcanzo a ver nada relacionado con el catalogo
Nov 23 20:54:29 <elsimio>	exacto jotamjr
Nov 23 20:54:58 <fcodiaz>	ok, entonces elsimio plantea tu propuesta, yo hare tambien una parte y nos pasamos la info
Nov 23 20:55:01 <jotamjr>	mmm yo podría ayudar pero algo al suave porque estoy hasta el cuello de actividades
Nov 23 20:55:07 <fcodiaz>	para presentar una propuesta la proxima reunion?
Nov 23 20:55:12 <fcodiaz>	son ams de 7 dias
Nov 23 20:55:18 <elsimio>	propuesta pero no algo fijo
Nov 23 20:55:28 <fcodiaz>	elsimio, algo con lo que podamos comenzar
Nov 23 20:55:28 <jotamjr>	elsimio: en que trabajas los E-R?
Nov 23 20:56:15 <elsimio>	yo en papel lo hare o dbdesigner4
Nov 23 20:56:40 <fcodiaz>	elsimio, entonces voy a trabajar en eso yo tambien, creo que manan tengo tiempo 
Nov 23 20:56:45 <fcodiaz>	manana*
Nov 23 20:57:01 <fcodiaz>	vos cuando crees que podrias trabajar en esto?
Nov 23 20:57:02 <jotamjr>	creo que lo básico sería el core de contabilidad
Nov 23 20:57:08 <jotamjr>	no se que opinan
Nov 23 20:57:10 <fcodiaz>	jotamjr, ok
Nov 23 20:57:16 <fcodiaz>	elsimio que opinas?
Nov 23 20:57:17 <elsimio>	manana q vaya en el crucero leere eso xP
Nov 23 20:57:48 <fcodiaz>	elsimio, nos hablamos el proximo lunes para ver como vamos
Nov 23 20:58:00 <jotamjr>	los demas modulos "vendran por añadidura" :D
Nov 23 20:58:12 <fcodiaz>	podremos tener esto para la proxima semana o necesitamos mas tiempo?
Nov 23 20:58:14 <fcodiaz>	elsimio, ?
Nov 23 20:58:16 <CiskoSV>	me parece.. comenzar con conta primero.
Nov 23 20:58:24 <jotamjr>	CiskoSV: exacto
Nov 23 20:58:32 <elsimio>	hare lo q pueda estos dias
Nov 23 20:58:35 <elsimio>	aunque sea en papel
Nov 23 20:58:48 <elsimio>	en un post-it
Nov 23 20:58:49 <fcodiaz>	nos ponemos de acuerdo el lunes entonces
Nov 23 20:58:55 <fcodiaz>	aja
Nov 23 20:58:56 <fcodiaz>	o
Nov 23 20:58:57 <fcodiaz>	ok
Nov 23 20:59:20 <fcodiaz>	entonces quedamos asi, elsimio y yo trabajaremos en la propuesta de diseno de la DB, se comenzara con el modulo de contabilidad
Nov 23 20:59:26 <fcodiaz>	esta bien asi?
Nov 23 20:59:33 <CiskoSV>	yeap
Nov 23 20:59:36 <elsimio>	simon
Nov 23 20:59:50 <fcodiaz>	ok, algo mas?
Nov 23 20:59:56 <fcodiaz>	algien mas quiere opinar algo
Nov 23 21:00:03 <jotamjr>	sep
Nov 23 21:00:14 <fcodiaz>	jotamjr, adelante
Nov 23 21:00:16 <jotamjr>	sep, esta bien empezar al menos con conta!
Nov 23 21:00:20 <jotamjr>	^
Nov 23 21:00:26 <fcodiaz>	excelente
Nov 23 21:00:31 <fcodiaz>	alguien mas?
Nov 23 21:00:33 <fcodiaz>	darkness51?
Nov 23 21:01:08 <darkness51>	fcodiaz: no, de momento no tengo nada que aportar, aunque tal vez pueda ayudar en algo con la base
Nov 23 21:01:30 <fcodiaz>	excelente, todo apoyo es bienvenido y creo que esto aun que parecen baby steps por ahora
Nov 23 21:01:36 <fcodiaz>	sera algo grande en un par de meses
Nov 23 21:01:44 <fcodiaz>	ok, algo mas?
Nov 23 21:01:48 <fcodiaz>	algun otro tema?
Nov 23 21:01:53 <fcodiaz>	alguien quiere agregar algo?
Nov 23 21:01:59 <fcodiaz>	antes de terminar la reunion?
Nov 23 21:02:17 <jotamjr>	nop
Nov 23 21:02:23 <fcodiaz>	CiskoSV, ?
Nov 23 21:02:26 <fcodiaz>	darkness51, ?
Nov 23 21:02:26 <CiskoSV>	nop
Nov 23 21:02:27 <fcodiaz>	elsimio, ?
Nov 23 21:02:57 <darkness51>	creo que se debería de explorar más el desarrollo sobre openerp, ya que nos resolvería los problemas de la modularidad y muchas otras cosas que ya vienen por defecto
Nov 23 21:03:09 <elsimio>	me parece
Nov 23 21:03:15 <elsimio>	si seria buena idea
Nov 23 21:03:25 <fcodiaz>	lo anterior de openerp?
Nov 23 21:03:42 <elsimio>	tambien, darkness51 podria ver algo de eso si desea
Nov 23 21:03:51 <fcodiaz>	a mi en lo personal si me gustaria ver que ondas, que se puede sacar
Nov 23 21:03:57 <fcodiaz>	darkness51, podrias ayudar en eso?
Nov 23 21:04:07 <fcodiaz>	y darnos una propuesta al respecto?
Nov 23 21:04:07 <darkness51>	fcodiaz: yo preparo algo para la proxima reunión entonces
Nov 23 21:04:16 <darkness51>	ahorita estoy trabajando con algo que tiene que ver con openerp
Nov 23 21:04:23 <darkness51>	asi que tengo documentación a la mano
Nov 23 21:04:23 <fcodiaz>	me parece
Nov 23 21:04:43 <fcodiaz>	ok, entonces tu nos cuentas la prox semana al respecto
Nov 23 21:05:05 <fcodiaz>	cualquier cosa ya sabes, estamos por aca en este canal para comunicarnos
Nov 23 21:05:17 <fcodiaz>	yo estare de vacaciones el jueves y viernes jovenes
Nov 23 21:05:21 <fcodiaz>	creo que elsimio tambien
Nov 23 21:05:43 <fcodiaz>	darkness51, gracias por tu colaboracion 
Nov 23 21:06:00 <fcodiaz>	algo mas?
Nov 23 21:06:10 <darkness51>	es un gusto poder colabrar con propuestas nacionales :D
Nov 23 21:06:18 <fcodiaz>	sino, damos por terminada la reunion, nos volvemos a ver aca hasta el 2 de diciembre del 2010 a las 21 horas de .sv
Nov 23 21:06:34 <elsimio>	chevere
Nov 23 21:06:46 <fcodiaz>	toda la info al respecto la pueden encontrar en: https://github.com/fcodiaz/Solicont
Nov 23 21:07:00 <fcodiaz>	gracias jovenes
Nov 23 21:07:07 <elsimio>	jotamjr  con CiskoSV haran el modulito tipo fortune para mostrar en el sistema la cita biblica diaria
Nov 23 21:07:34 <emonge>	xD
Nov 23 21:07:34 <CiskoSV>	jajaj minimo
Nov 23 21:07:49 <fcodiaz>	ok jovenes, buenas noches
Nov 23 21:07:51 <CiskoSV>	fcodiaz: gracias a vos
Nov 23 21:07:53 <fcodiaz>	seguimos en contacto
Nov 23 21:08:07 <fcodiaz>	no gracias a ustedes que dedican su tiempo
Nov 23 21:08:17 <fcodiaz>	#commit
Nov 23 21:08:29 <elsimio>	chevere
Nov 23 21:08:44 <jotamjr>	:s
